month,category_id,category_name,planned_volume,actual_volume,planned_po_date,actual_po_date,po_late_days
2024-06,CAT03,Logistics,1572.6,1206.4,2024-06-10,2024-06-16,6
2024-07,CAT03,Logistics,1515.8,1244.0,2024-07-10,2024-07-17,7
2024-08,CAT03,Logistics,1549.0,1241.4,2024-08-10,2024-08-18,8
2024-09,CAT03,Logistics,1545.2,1220.5,2024-09-10,2024-09-19,9
2024-10,CAT03,Logistics,1600.7,1333.0,2024-10-10,2024-10-17,7
2024-11,CAT03,Logistics,1599.4,1293.1,2024-11-10,2024-11-17,7
2024-12,CAT03,Logistics,1547.7,1303.1,2024-12-10,2024-12-15,5
2025-01,CAT03,Logistics,1558.2,1293.9,2025-01-10,2025-01-14,4
2025-02,CAT03,Logistics,1566.7,1348.9,2025-02-10,2025-02-16,6
2025-03,CAT03,Logistics,1542.6,1309.2,2025-03-10,2025-03-16,6
2025-04,CAT03,Logistics,1573.7,1331.6,2025-04-10,2025-04-11,1
2025-05,CAT03,Logistics,1554.8,1330.6,2025-05-10,2025-05-14,4
2025-06,CAT03,Logistics,1518.9,1325.5,2025-06-10,2025-06-14,4
2025-07,CAT03,Logistics,1550.1,1330.6,2025-07-10,2025-07-13,3
2025-08,CAT03,Logistics,1514.2,1321.3,2025-08-10,2025-08-13,3
2025-09,CAT03,Logistics,1572.1,1410.1,2025-09-10,2025-09-13,3
2025-10,CAT03,Logistics,1587.6,1402.2,2025-10-10,2025-10-12,2
2025-11,CAT03,Logistics,1574.9,1426.9,2025-11-10,2025-11-11,1
2025-12,CAT03,Logistics,1634.9,1505.8,2025-12-10,2025-12-13,3
2026-01,CAT03,Logistics,1594.7,1431.8,2026-01-10,2026-01-11,1
2026-02,CAT03,Logistics,1656.5,1540.1,2026-02-10,2026-02-10,0
2026-03,CAT03,Logistics,1622.0,1471.1,2026-03-10,2026-03-12,2
2026-04,CAT03,Logistics,1616.2,1226.7,2026-04-10,2026-04-14,4
2026-05,CAT03,Logistics,1659.9,1443.2,2026-05-10,2026-05-12,2
2024-06,CAT04,Facilities,1381.5,1095.3,2024-06-10,2024-06-15,5
2024-07,CAT04,Facilities,1413.6,1104.4,2024-07-10,2024-07-12,2
2024-08,CAT04,Facilities,1433.8,1159.6,2024-08-10,2024-08-17,7
2024-09,CAT04,Facilities,1436.9,1148.6,2024-09-10,2024-09-18,8
2024-10,CAT04,Facilities,1369.8,1119.4,2024-10-10,2024-10-16,6
2024-11,CAT04,Facilities,1351.8,1087.6,2024-11-10,2024-11-18,8
2024-12,CAT04,Facilities,1479.5,1202.6,2024-12-10,2024-12-15,5
2025-01,CAT04,Facilities,1460.9,1184.6,2025-01-10,2025-01-20,10
2025-02,CAT04,Facilities,1400.9,1167.8,2025-02-10,2025-02-12,2
2025-03,CAT04,Facilities,1444.1,1234.4,2025-03-10,2025-03-18,8
2025-04,CAT04,Facilities,1421.4,1198.5,2025-04-10,2025-04-15,5
2025-05,CAT04,Facilities,1437.4,1237.6,2025-05-10,2025-05-12,2
2025-06,CAT04,Facilities,1433.4,1256.5,2025-06-10,2025-06-16,6
2025-07,CAT04,Facilities,1416.2,1198.4,2025-07-10,2025-07-12,2
2025-08,CAT04,Facilities,1511.4,1312.8,2025-08-10,2025-08-14,4
2025-09,CAT04,Facilities,1500.3,1299.0,2025-09-10,2025-09-13,3
2025-10,CAT04,Facilities,1510.1,1333.0,2025-10-10,2025-10-13,3
2025-11,CAT04,Facilities,1478.4,1335.3,2025-11-10,2025-11-14,4
2025-12,CAT04,Facilities,1490.9,1366.0,2025-12-10,2025-12-11,1
2026-01,CAT04,Facilities,1541.5,1424.9,2026-01-10,2026-01-11,1
2026-02,CAT04,Facilities,1484.5,1374.7,2026-02-10,2026-02-12,2
2026-03,CAT04,Facilities,1469.9,1350.3,2026-03-10,2026-03-13,3
2026-04,CAT04,Facilities,1477.7,1360.5,2026-04-10,2026-04-10,0
2026-05,CAT04,Facilities,1466.3,1383.7,2026-05-10,2026-05-10,0
2024-06,CAT05,Marketing,1721.9,1369.2,2024-06-10,2024-06-16,6
2024-07,CAT05,Marketing,1611.4,1324.2,2024-07-10,2024-07-13,3
2024-08,CAT05,Marketing,1650.0,1353.1,2024-08-10,2024-08-17,7
2024-09,CAT05,Marketing,1628.2,1317.1,2024-09-10,2024-09-15,5
2024-10,CAT05,Marketing,1671.4,1394.3,2024-10-10,2024-10-16,6
2024-11,CAT05,Marketing,1669.1,1360.3,2024-11-10,2024-11-11,1
2024-12,CAT05,Marketing,1662.1,1363.9,2024-12-10,2024-12-12,2
2025-01,CAT05,Marketing,1679.1,1381.2,2025-01-10,2025-01-16,6
2025-02,CAT05,Marketing,1656.4,1385.7,2025-02-10,2025-02-14,4
2025-03,CAT05,Marketing,1666.6,1408.2,2025-03-10,2025-03-20,10
2025-04,CAT05,Marketing,1755.4,1484.2,2025-04-10,2025-04-19,9
2025-05,CAT05,Marketing,1742.2,1481.2,2025-05-10,2025-05-12,2
2025-06,CAT05,Marketing,1744.8,1513.9,2025-06-10,2025-06-15,5
2025-07,CAT05,Marketing,1741.0,1512.2,2025-07-10,2025-07-12,2
2025-08,CAT05,Marketing,1738.2,1515.6,2025-08-10,2025-08-12,2
2025-09,CAT05,Marketing,1770.7,1620.1,2025-09-10,2025-09-14,4
2025-10,CAT05,Marketing,1699.7,1521.1,2025-10-10,2025-10-12,2
2025-11,CAT05,Marketing,1737.2,1547.4,2025-11-10,2025-11-14,4
2025-12,CAT05,Marketing,1764.3,1553.7,2025-12-10,2025-12-13,3
2026-01,CAT05,Marketing,1718.9,1559.4,2026-01-10,2026-01-16,6
2026-02,CAT05,Marketing,1705.9,1576.9,2026-02-10,2026-02-12,2
2026-03,CAT05,Marketing,1698.7,1529.5,2026-03-10,2026-03-11,1
2026-04,CAT05,Marketing,1760.0,1661.1,2026-04-10,2026-04-10,0
2026-05,CAT05,Marketing,1766.5,1672.7,2026-05-10,2026-05-14,4
2024-06,CAT06,Professional Services,1505.6,1183.4,2024-06-10,2024-06-22,12
2024-07,CAT06,Professional Services,1547.0,1217.0,2024-07-10,2024-07-15,5
2024-08,CAT06,Professional Services,1526.1,1233.6,2024-08-10,2024-08-19,9
2024-09,CAT06,Professional Services,1530.9,1247.2,2024-09-10,2024-09-15,5
2024-10,CAT06,Professional Services,1553.7,1289.6,2024-10-10,2024-10-19,9
2024-11,CAT06,Professional Services,1510.7,1238.6,2024-11-10,2024-11-19,9
2024-12,CAT06,Professional Services,1538.6,1262.5,2024-12-10,2024-12-20,10
2025-01,CAT06,Professional Services,1561.0,1279.3,2025-01-10,2025-01-14,4
2025-02,CAT06,Professional Services,1576.4,1343.3,2025-02-10,2025-02-15,5
2025-03,CAT06,Professional Services,1591.4,1356.8,2025-03-10,2025-03-13,3
2025-04,CAT06,Professional Services,1623.6,1383.8,2025-04-10,2025-04-12,2
2025-05,CAT06,Professional Services,1566.1,1343.8,2025-05-10,2025-05-17,7
2025-06,CAT06,Professional Services,1572.0,1348.0,2025-06-10,2025-06-12,2
2025-07,CAT06,Professional Services,1573.9,1360.9,2025-07-10,2025-07-15,5
2025-08,CAT06,Professional Services,1582.1,1382.8,2025-08-10,2025-08-14,4
2025-09,CAT06,Professional Services,1605.6,1406.9,2025-09-10,2025-09-12,2
2025-10,CAT06,Professional Services,1543.1,1365.3,2025-10-10,2025-10-15,5
2025-11,CAT06,Professional Services,1573.7,1395.8,2025-11-10,2025-11-11,1
2025-12,CAT06,Professional Services,1601.0,1442.8,2025-12-10,2025-12-14,4
2026-01,CAT06,Professional Services,1595.1,1425.9,2026-01-10,2026-01-12,2
2026-02,CAT06,Professional Services,1555.5,1419.6,2026-02-10,2026-02-11,1
2026-03,CAT06,Professional Services,1566.2,1428.1,2026-03-10,2026-03-11,1
2026-04,CAT06,Professional Services,1610.4,1490.0,2026-04-10,2026-04-12,2
2026-05,CAT06,Professional Services,1617.6,1484.5,2026-05-10,2026-05-12,2
