txn_id,date,month,supplier_id,category_id,amount_eur,on_contract_flag,po_flag
TX0000044,2024-06-02,2024-06,SUP035,CAT02,450780.92,1,1
TX0000045,2024-06-21,2024-06,SUP014,CAT03,322285.39,1,1
TX0000046,2024-06-06,2024-06,SUP008,CAT03,120896.49,0,1
TX0000047,2024-06-06,2024-06,SUP064,CAT03,469651.04,1,1
TX0000048,2024-06-10,2024-06,SUP036,CAT03,164105.02,1,1
TX0000049,2024-06-21,2024-06,SUP064,CAT03,18409.91,1,1
TX0000050,2024-06-12,2024-06,SUP053,CAT03,676485.65,1,1
TX0000051,2024-06-13,2024-06,SUP014,CAT03,204653.4,0,0
TX0000052,2024-06-05,2024-06,SUP014,CAT03,362579.65,0,0
TX0000053,2024-06-12,2024-06,SUP060,CAT03,35152.56,1,1
TX0000054,2024-06-03,2024-06,SUP014,CAT03,105320.84,1,1
TX0000055,2024-06-21,2024-06,SUP064,CAT03,150585.01,1,1
TX0000056,2024-06-11,2024-06,SUP008,CAT03,59107.39,1,1
TX0000057,2024-06-13,2024-06,SUP053,CAT03,161112.46,1,1
TX0000058,2024-06-18,2024-06,SUP060,CAT03,137129.96,0,0
TX0000059,2024-06-08,2024-06,SUP014,CAT03,436158.13,1,1
TX0000060,2024-06-14,2024-06,SUP019,CAT03,17563.07,1,1
TX0000061,2024-06-11,2024-06,SUP073,CAT03,290374.04,1,1
TX0000062,2024-06-03,2024-06,SUP014,CAT03,382522.93,1,1
TX0000063,2024-06-05,2024-06,SUP039,CAT03,680379.23,1,1
TX0000064,2024-06-17,2024-06,SUP039,CAT03,330203.62,1,1
TX0000065,2024-06-23,2024-06,SUP014,CAT03,85207.94,0,1
TX0000066,2024-06-15,2024-06,SUP060,CAT03,157582.22,1,1
TX0000067,2024-06-09,2024-06,SUP060,CAT03,232134.62,1,1
TX0000068,2024-06-05,2024-06,SUP036,CAT03,480219.96,1,1
TX0000069,2024-06-26,2024-06,SUP064,CAT03,30624.68,0,1
TX0000070,2024-06-27,2024-06,SUP014,CAT03,289554.81,0,1
TX0000071,2024-06-03,2024-06,SUP018,CAT04,241750.46,1,1
TX0000072,2024-06-21,2024-06,SUP018,CAT04,114603.93,1,1
TX0000073,2024-06-26,2024-06,SUP018,CAT04,38934.71,1,1
TX0000074,2024-06-20,2024-06,SUP071,CAT04,152596.39,1,1
TX0000075,2024-06-12,2024-06,SUP049,CAT04,145456.2,1,1
TX0000076,2024-06-22,2024-06,SUP049,CAT04,110056.45,1,1
TX0000077,2024-06-19,2024-06,SUP071,CAT04,247302.76,1,1
TX0000078,2024-06-09,2024-06,SUP037,CAT04,138736.21,1,1
TX0000079,2024-06-06,2024-06,SUP037,CAT04,223254.56,1,1
TX0000080,2024-06-09,2024-06,SUP037,CAT04,285363.89,1,1
TX0000081,2024-06-27,2024-06,SUP049,CAT04,707677.41,1,1
TX0000082,2024-06-16,2024-06,SUP018,CAT04,154618.3,1,1
TX0000083,2024-06-05,2024-06,SUP071,CAT04,374716.56,1,1
TX0000084,2024-06-17,2024-06,SUP071,CAT04,198384.65,1,1
TX0000085,2024-06-17,2024-06,SUP037,CAT04,206928.28,1,1
TX0000086,2024-06-02,2024-06,SUP049,CAT04,156265.52,1,1
TX0000087,2024-06-09,2024-06,SUP018,CAT04,185756.36,1,1
TX0000088,2024-06-12,2024-06,SUP071,CAT04,139771.94,1,1
TX0000089,2024-06-02,2024-06,SUP071,CAT04,331467.37,1,1
TX0000090,2024-06-21,2024-06,SUP071,CAT04,89908.95,1,1
TX0000091,2024-06-26,2024-06,SUP037,CAT04,38516.1,1,1
TX0000092,2024-06-14,2024-06,SUP018,CAT04,107023.84,1,1
TX0000093,2024-06-12,2024-06,SUP018,CAT04,97529.58,1,1
TX0000094,2024-06-14,2024-06,SUP018,CAT04,106975.25,1,1
TX0000095,2024-06-27,2024-06,SUP018,CAT04,149901.8,1,1
TX0000096,2024-06-26,2024-06,SUP018,CAT04,107312.91,1,1
TX0000097,2024-06-16,2024-06,SUP071,CAT04,148238.34,1,1
TX0000098,2024-06-01,2024-06,SUP018,CAT04,107596.1,1,1
TX0000099,2024-06-06,2024-06,SUP018,CAT04,226688.5,1,1
TX0000100,2024-06-10,2024-06,SUP077,CAT05,257327.57,1,1
TX0000101,2024-06-01,2024-06,SUP001,CAT05,200913.94,1,1
TX0000102,2024-06-15,2024-06,SUP078,CAT05,400141.2,1,1
TX0000103,2024-06-22,2024-06,SUP048,CAT05,206834.0,1,1
TX0000104,2024-06-19,2024-06,SUP077,CAT05,289125.3,1,1
TX0000105,2024-06-07,2024-06,SUP056,CAT05,34104.85,1,1
TX0000106,2024-06-03,2024-06,SUP056,CAT05,287659.82,1,1
TX0000107,2024-06-05,2024-06,SUP003,CAT05,197573.59,1,1
TX0000108,2024-06-15,2024-06,SUP078,CAT05,552570.27,1,1
TX0000109,2024-06-01,2024-06,SUP078,CAT05,234659.28,0,0
TX0000110,2024-06-20,2024-06,SUP001,CAT05,498099.0,1,1
TX0000111,2024-06-27,2024-06,SUP048,CAT05,459034.33,0,0
TX0000112,2024-06-02,2024-06,SUP078,CAT05,468004.27,1,1
TX0000113,2024-06-23,2024-06,SUP077,CAT05,241422.41,0,0
TX0000114,2024-06-14,2024-06,SUP048,CAT05,302305.96,1,1
TX0000115,2024-06-05,2024-06,SUP048,CAT05,392447.28,1,1
TX0000116,2024-06-15,2024-06,SUP077,CAT05,309410.81,0,0
TX0000117,2024-06-13,2024-06,SUP078,CAT05,235073.19,1,1
TX0000118,2024-06-01,2024-06,SUP077,CAT05,130741.27,0,0
TX0000119,2024-06-10,2024-06,SUP078,CAT05,291719.77,1,1
TX0000120,2024-06-15,2024-06,SUP070,CAT05,66751.98,1,1
TX0000121,2024-06-20,2024-06,SUP048,CAT05,30777.11,1,1
TX0000122,2024-06-22,2024-06,SUP056,CAT05,104076.08,1,1
TX0000123,2024-06-07,2024-06,SUP048,CAT05,464180.7,1,1
TX0000124,2024-06-18,2024-06,SUP048,CAT05,344227.01,1,1
TX0000125,2024-06-27,2024-06,SUP001,CAT05,467485.67,1,1
TX0000126,2024-06-19,2024-06,SUP023,CAT06,84792.33,0,1
TX0000127,2024-06-11,2024-06,SUP050,CAT06,660031.24,1,1
TX0000128,2024-06-11,2024-06,SUP074,CAT06,227481.29,1,1
TX0000129,2024-06-11,2024-06,SUP020,CAT06,108628.97,1,1
TX0000130,2024-06-08,2024-06,SUP067,CAT06,75266.61,1,1
TX0000131,2024-06-18,2024-06,SUP069,CAT06,62008.08,0,1
TX0000132,2024-06-10,2024-06,SUP050,CAT06,115650.25,0,0
TX0000133,2024-06-12,2024-06,SUP067,CAT06,109998.67,1,1
TX0000134,2024-06-10,2024-06,SUP069,CAT06,156657.75,1,1
TX0000135,2024-06-19,2024-06,SUP067,CAT06,269562.39,1,1
TX0000136,2024-06-21,2024-06,SUP020,CAT06,176504.23,1,1
TX0000137,2024-06-05,2024-06,SUP020,CAT06,331583.81,0,0
TX0000138,2024-06-20,2024-06,SUP069,CAT06,147714.48,0,0
TX0000139,2024-06-04,2024-06,SUP050,CAT06,562651.59,1,1
TX0000140,2024-06-15,2024-06,SUP067,CAT06,325931.07,0,1
TX0000141,2024-06-02,2024-06,SUP020,CAT06,222856.95,1,1
TX0000142,2024-06-26,2024-06,SUP067,CAT06,270226.25,1,1
TX0000143,2024-06-10,2024-06,SUP069,CAT06,118373.78,1,1
TX0000144,2024-06-08,2024-06,SUP067,CAT06,154607.84,1,1
TX0000145,2024-06-12,2024-06,SUP069,CAT06,149814.6,1,1
TX0000146,2024-06-11,2024-06,SUP050,CAT06,97562.04,1,1
TX0000147,2024-06-07,2024-06,SUP067,CAT06,51667.47,1,1
TX0000148,2024-06-06,2024-06,SUP069,CAT06,280893.76,0,0
TX0000149,2024-06-22,2024-06,SUP067,CAT06,368819.24,0,1
TX0000150,2024-06-15,2024-06,SUP050,CAT06,252656.17,1,1
TX0000151,2024-06-13,2024-06,SUP069,CAT06,176095.12,0,0
TX0000152,2024-06-25,2024-06,SUP067,CAT06,734536.79,1,1
TX0000153,2024-06-02,2024-06,SUP067,CAT06,107427.22,0,1
TX0000154,2024-07-15,2024-07,SUP080,CAT01,541284.8,1,1
TX0000155,2024-07-07,2024-07,SUP022,CAT01,242328.81,1,1
TX0000156,2024-07-09,2024-07,SUP066,CAT01,356591.83,1,1
TX0000157,2024-07-11,2024-07,SUP022,CAT01,1127393.88,1,1
TX0000158,2024-07-08,2024-07,SUP072,CAT01,223435.37,1,1
TX0000159,2024-07-16,2024-07,SUP006,CAT01,595618.99,0,1
TX0000160,2024-07-10,2024-07,SUP010,CAT01,841632.31,1,1
TX0000161,2024-07-02,2024-07,SUP072,CAT01,638050.83,1,1
TX0000162,2024-07-01,2024-07,SUP075,CAT01,468541.95,0,1
TX0000163,2024-07-03,2024-07,SUP017,CAT01,525106.3,1,1
TX0000164,2024-07-03,2024-07,SUP022,CAT01,667343.44,0,1
TX0000165,2024-07-20,2024-07,SUP022,CAT01,221051.89,0,0
TX0000166,2024-07-16,2024-07,SUP022,CAT01,436883.82,1,1
TX0000167,2024-07-23,2024-07,SUP015,CAT01,1727006.76,1,1
TX0000168,2024-07-05,2024-07,SUP066,CAT01,609060.9,1,1
TX0000169,2024-07-24,2024-07,SUP017,CAT01,481264.05,1,1
TX0000170,2024-07-20,2024-07,SUP046,CAT01,328102.3,1,1
TX0000171,2024-07-20,2024-07,SUP006,CAT01,223293.18,1,1
TX0000172,2024-07-03,2024-07,SUP005,CAT01,538252.93,1,1
TX0000173,2024-07-06,2024-07,SUP046,CAT01,566208.93,1,0
TX0000174,2024-07-06,2024-07,SUP022,CAT01,414458.14,0,0
TX0000175,2024-07-09,2024-07,SUP046,CAT01,2186582.52,1,1
TX0000176,2024-07-25,2024-07,SUP006,CAT01,241028.19,0,1
TX0000177,2024-07-01,2024-07,SUP075,CAT01,193386.6,1,1
TX0000178,2024-07-07,2024-07,SUP065,CAT01,331965.09,1,1
TX0000179,2024-07-14,2024-07,SUP066,CAT01,424897.2,1,1
TX0000180,2024-07-08,2024-07,SUP010,CAT01,213009.21,1,1
TX0000181,2024-07-17,2024-07,SUP017,CAT01,528659.13,1,0
TX0000182,2024-07-01,2024-07,SUP022,CAT01,571671.26,1,1
TX0000183,2024-07-05,2024-07,SUP026,CAT01,724197.2,1,1
TX0000184,2024-07-23,2024-07,SUP017,CAT01,289324.21,1,1
TX0000185,2024-07-27,2024-07,SUP035,CAT02,217846.15,1,0
TX0000186,2024-07-07,2024-07,SUP034,CAT02,117583.38,1,1
TX0000187,2024-07-06,2024-07,SUP025,CAT02,596598.8,1,1
TX0000188,2024-07-22,2024-07,SUP021,CAT02,2891.99,0,0
TX0000189,2024-07-15,2024-07,SUP021,CAT02,1042566.52,0,1
TX0000190,2024-07-16,2024-07,SUP025,CAT02,36779.78,1,1
TX0000191,2024-07-25,2024-07,SUP021,CAT02,320365.35,0,0
TX0000192,2024-07-27,2024-07,SUP055,CAT02,390076.33,1,1
TX0000193,2024-07-11,2024-07,SUP035,CAT02,414848.08,1,1
TX0000194,2024-07-07,2024-07,SUP021,CAT02,1269803.5,1,1
TX0000195,2024-07-03,2024-07,SUP035,CAT02,65770.84,0,1
TX0000196,2024-07-06,2024-07,SUP052,CAT02,688172.15,1,1
TX0000197,2024-07-03,2024-07,SUP021,CAT02,223415.02,0,0
TX0000198,2024-07-02,2024-07,SUP021,CAT02,603871.04,0,0
TX0000199,2024-07-25,2024-07,SUP007,CAT02,166238.57,0,0
TX0000200,2024-07-20,2024-07,SUP013,CAT02,247675.63,1,1
TX0000201,2024-07-02,2024-07,SUP035,CAT02,144866.16,0,0
TX0000202,2024-07-16,2024-07,SUP063,CAT02,221844.52,1,1
TX0000203,2024-07-14,2024-07,SUP013,CAT02,210708.32,0,0
TX0000204,2024-07-05,2024-07,SUP035,CAT02,320370.35,1,1
TX0000205,2024-07-02,2024-07,SUP016,CAT02,385711.13,1,1
TX0000206,2024-07-02,2024-07,SUP035,CAT02,390720.43,1,1
TX0000207,2024-07-17,2024-07,SUP035,CAT02,331012.17,1,1
TX0000208,2024-07-20,2024-07,SUP025,CAT02,415825.36,1,1
TX0000209,2024-07-01,2024-07,SUP007,CAT02,427302.46,1,1
TX0000210,2024-07-15,2024-07,SUP008,CAT03,34362.28,1,1
TX0000211,2024-07-10,2024-07,SUP014,CAT03,135781.57,1,1
TX0000212,2024-07-12,2024-07,SUP064,CAT03,115872.45,1,0
TX0000213,2024-07-05,2024-07,SUP008,CAT03,504285.07,1,1
TX0000214,2024-07-03,2024-07,SUP014,CAT03,44822.97,1,1
TX0000215,2024-07-18,2024-07,SUP047,CAT03,445911.5,1,1
TX0000216,2024-07-07,2024-07,SUP014,CAT03,106121.32,0,1
TX0000217,2024-07-08,2024-07,SUP008,CAT03,11516.94,1,1
TX0000218,2024-07-04,2024-07,SUP047,CAT03,144512.83,1,1
TX0000219,2024-07-21,2024-07,SUP036,CAT03,126602.23,1,1
TX0000220,2024-07-20,2024-07,SUP053,CAT03,391273.44,1,1
TX0000221,2024-07-03,2024-07,SUP064,CAT03,111640.48,1,0
TX0000222,2024-07-18,2024-07,SUP008,CAT03,575833.29,1,1
TX0000223,2024-07-21,2024-07,SUP064,CAT03,366897.77,0,1
TX0000224,2024-07-22,2024-07,SUP064,CAT03,195869.82,1,1
TX0000225,2024-07-24,2024-07,SUP060,CAT03,77216.45,1,1
TX0000226,2024-07-10,2024-07,SUP053,CAT03,222721.4,1,1
TX0000227,2024-07-03,2024-07,SUP053,CAT03,163512.99,1,1
TX0000228,2024-07-06,2024-07,SUP053,CAT03,273637.15,1,1
TX0000229,2024-07-05,2024-07,SUP053,CAT03,305960.65,1,1
TX0000230,2024-07-22,2024-07,SUP008,CAT03,846934.7,0,0
TX0000231,2024-07-18,2024-07,SUP073,CAT03,124148.46,1,1
TX0000232,2024-07-10,2024-07,SUP051,CAT03,322036.48,1,1
TX0000233,2024-07-11,2024-07,SUP060,CAT03,130235.04,0,0
TX0000234,2024-07-15,2024-07,SUP036,CAT03,88052.04,1,1
TX0000235,2024-07-13,2024-07,SUP008,CAT03,193972.25,0,1
TX0000236,2024-07-22,2024-07,SUP047,CAT03,108844.45,1,1
TX0000237,2024-07-14,2024-07,SUP071,CAT04,237509.42,1,1
TX0000238,2024-07-13,2024-07,SUP037,CAT04,151571.99,1,1
TX0000239,2024-07-19,2024-07,SUP071,CAT04,16236.05,1,1
TX0000240,2024-07-21,2024-07,SUP071,CAT04,121055.87,1,1
TX0000241,2024-07-03,2024-07,SUP037,CAT04,297288.99,1,1
TX0000242,2024-07-16,2024-07,SUP071,CAT04,438187.58,1,1
TX0000243,2024-07-05,2024-07,SUP037,CAT04,170981.88,1,1
TX0000244,2024-07-07,2024-07,SUP043,CAT04,487022.2,1,1
TX0000245,2024-07-07,2024-07,SUP018,CAT04,71557.65,1,1
TX0000246,2024-07-27,2024-07,SUP018,CAT04,227823.06,1,1
TX0000247,2024-07-26,2024-07,SUP071,CAT04,232585.8,1,1
TX0000248,2024-07-11,2024-07,SUP037,CAT04,261085.81,1,1
TX0000249,2024-07-20,2024-07,SUP037,CAT04,189527.23,1,1
TX0000250,2024-07-22,2024-07,SUP018,CAT04,218716.22,1,1
TX0000251,2024-07-10,2024-07,SUP037,CAT04,69941.49,1,1
TX0000252,2024-07-05,2024-07,SUP071,CAT04,409947.17,1,0
TX0000253,2024-07-23,2024-07,SUP071,CAT04,322263.38,1,1
TX0000254,2024-07-04,2024-07,SUP018,CAT04,212383.38,1,1
TX0000255,2024-07-11,2024-07,SUP043,CAT04,327554.75,1,0
TX0000256,2024-07-01,2024-07,SUP037,CAT04,418878.61,1,1
TX0000257,2024-07-19,2024-07,SUP049,CAT04,258361.46,1,1
TX0000258,2024-07-15,2024-07,SUP078,CAT05,179683.8,1,1
TX0000259,2024-07-19,2024-07,SUP001,CAT05,168432.7,1,0
TX0000260,2024-07-13,2024-07,SUP078,CAT05,171825.23,1,1
TX0000261,2024-07-17,2024-07,SUP048,CAT05,234549.37,1,1
TX0000262,2024-07-22,2024-07,SUP077,CAT05,389815.97,1,1
TX0000263,2024-07-05,2024-07,SUP070,CAT05,162382.37,1,1
TX0000264,2024-07-12,2024-07,SUP048,CAT05,196669.55,0,0
TX0000265,2024-07-02,2024-07,SUP031,CAT05,659644.57,1,1
TX0000266,2024-07-07,2024-07,SUP031,CAT05,37948.97,1,1
TX0000267,2024-07-12,2024-07,SUP028,CAT05,545774.24,0,1
TX0000268,2024-07-24,2024-07,SUP077,CAT05,473180.41,0,1
TX0000269,2024-07-26,2024-07,SUP048,CAT05,55796.8,0,0
TX0000270,2024-07-23,2024-07,SUP048,CAT05,38874.83,1,1
TX0000271,2024-07-22,2024-07,SUP078,CAT05,563267.49,1,1
TX0000272,2024-07-06,2024-07,SUP077,CAT05,71525.62,1,1
TX0000273,2024-07-23,2024-07,SUP077,CAT05,226709.37,0,0
TX0000274,2024-07-15,2024-07,SUP078,CAT05,600849.1,1,1
TX0000275,2024-07-11,2024-07,SUP056,CAT05,341770.01,1,1
TX0000276,2024-07-21,2024-07,SUP078,CAT05,318373.76,1,1
TX0000277,2024-07-07,2024-07,SUP003,CAT05,433956.7,1,1
TX0000278,2024-07-03,2024-07,SUP078,CAT05,427975.29,1,1
TX0000279,2024-07-21,2024-07,SUP078,CAT05,279266.16,1,1
TX0000280,2024-07-12,2024-07,SUP078,CAT05,319961.49,1,1
TX0000281,2024-07-09,2024-07,SUP077,CAT05,298438.22,0,0
TX0000282,2024-07-18,2024-07,SUP069,CAT06,443539.28,0,1
TX0000283,2024-07-25,2024-07,SUP020,CAT06,129591.95,1,1
TX0000284,2024-07-19,2024-07,SUP069,CAT06,170402.29,1,1
TX0000285,2024-07-18,2024-07,SUP067,CAT06,121439.08,1,1
TX0000286,2024-07-01,2024-07,SUP069,CAT06,409515.45,0,1
TX0000287,2024-07-18,2024-07,SUP033,CAT06,87128.73,0,1
TX0000288,2024-07-08,2024-07,SUP067,CAT06,227606.59,1,1
TX0000289,2024-07-18,2024-07,SUP069,CAT06,27041.75,0,0
TX0000290,2024-07-24,2024-07,SUP067,CAT06,56131.71,1,1
TX0000291,2024-07-22,2024-07,SUP033,CAT06,155728.75,1,1
TX0000292,2024-07-14,2024-07,SUP050,CAT06,134247.54,1,1
TX0000293,2024-07-19,2024-07,SUP069,CAT06,134071.57,1,1
TX0000294,2024-07-25,2024-07,SUP020,CAT06,363196.75,1,0
TX0000295,2024-07-04,2024-07,SUP069,CAT06,378223.85,1,1
TX0000296,2024-07-07,2024-07,SUP076,CAT06,261809.92,1,1
TX0000297,2024-07-27,2024-07,SUP020,CAT06,82747.7,1,1
TX0000298,2024-07-05,2024-07,SUP033,CAT06,191165.41,1,1
TX0000299,2024-07-26,2024-07,SUP069,CAT06,702589.42,1,1
TX0000300,2024-07-14,2024-07,SUP020,CAT06,930615.26,1,1
TX0000301,2024-07-17,2024-07,SUP067,CAT06,412278.91,0,0
TX0000302,2024-07-24,2024-07,SUP069,CAT06,85888.75,0,1
TX0000303,2024-07-06,2024-07,SUP067,CAT06,192501.66,1,1
TX0000304,2024-07-02,2024-07,SUP067,CAT06,249170.54,1,1
TX0000305,2024-07-06,2024-07,SUP069,CAT06,221943.15,0,1
TX0000306,2024-08-01,2024-08,SUP072,CAT01,269136.75,1,1
TX0000307,2024-08-17,2024-08,SUP017,CAT01,868830.05,1,1
TX0000308,2024-08-07,2024-08,SUP066,CAT01,571533.86,1,1
TX0000309,2024-08-18,2024-08,SUP006,CAT01,361244.5,0,0
TX0000310,2024-08-13,2024-08,SUP046,CAT01,853149.67,1,1
TX0000311,2024-08-13,2024-08,SUP066,CAT01,957929.33,1,1
TX0000312,2024-08-05,2024-08,SUP046,CAT01,1187029.48,1,1
TX0000313,2024-08-23,2024-08,SUP022,CAT01,243425.55,0,1
TX0000314,2024-08-09,2024-08,SUP046,CAT01,1084871.09,1,1
TX0000315,2024-08-11,2024-08,SUP010,CAT01,366822.37,1,1
TX0000316,2024-08-02,2024-08,SUP017,CAT01,551261.31,1,1
TX0000317,2024-08-26,2024-08,SUP017,CAT01,633848.9,1,1
TX0000318,2024-08-20,2024-08,SUP030,CAT01,1025258.83,1,1
TX0000319,2024-08-18,2024-08,SUP022,CAT01,792676.5,1,1
TX0000320,2024-08-11,2024-08,SUP017,CAT01,356252.81,1,1
TX0000321,2024-08-20,2024-08,SUP066,CAT01,42482.18,1,1
TX0000322,2024-08-21,2024-08,SUP022,CAT01,683223.1,1,1
TX0000323,2024-08-19,2024-08,SUP022,CAT01,534179.15,1,1
TX0000324,2024-08-22,2024-08,SUP022,CAT01,141198.23,1,1
TX0000325,2024-08-09,2024-08,SUP015,CAT01,583020.16,1,1
TX0000326,2024-08-07,2024-08,SUP057,CAT01,474887.69,1,1
TX0000327,2024-08-04,2024-08,SUP022,CAT01,1179163.69,0,0
TX0000328,2024-08-15,2024-08,SUP004,CAT01,1646202.19,1,1
TX0000329,2024-08-03,2024-08,SUP079,CAT01,941506.71,1,1
TX0000330,2024-08-16,2024-08,SUP066,CAT01,453641.52,1,1
TX0000331,2024-08-02,2024-08,SUP057,CAT01,508822.27,1,1
TX0000332,2024-08-13,2024-08,SUP066,CAT01,235666.12,1,1
TX0000333,2024-08-26,2024-08,SUP016,CAT02,129361.44,1,1
TX0000334,2024-08-16,2024-08,SUP021,CAT02,316735.78,0,1
TX0000335,2024-08-09,2024-08,SUP021,CAT02,466734.33,1,1
TX0000336,2024-08-10,2024-08,SUP025,CAT02,127847.69,0,0
TX0000337,2024-08-14,2024-08,SUP035,CAT02,46170.03,1,0
TX0000338,2024-08-15,2024-08,SUP035,CAT02,555451.07,1,1
TX0000339,2024-08-03,2024-08,SUP035,CAT02,98442.23,1,1
TX0000340,2024-08-03,2024-08,SUP021,CAT02,175322.94,1,1
TX0000341,2024-08-05,2024-08,SUP035,CAT02,457338.31,1,1
TX0000342,2024-08-19,2024-08,SUP025,CAT02,121816.56,1,1
TX0000343,2024-08-14,2024-08,SUP011,CAT02,529251.9,1,1
TX0000344,2024-08-06,2024-08,SUP021,CAT02,153869.85,0,0
TX0000345,2024-08-09,2024-08,SUP025,CAT02,137362.75,1,0
TX0000346,2024-08-17,2024-08,SUP021,CAT02,95798.65,1,1
TX0000347,2024-08-05,2024-08,SUP042,CAT02,155107.16,1,1
TX0000348,2024-08-14,2024-08,SUP035,CAT02,414709.13,1,1
TX0000349,2024-08-13,2024-08,SUP035,CAT02,175350.24,1,1
TX0000350,2024-08-01,2024-08,SUP021,CAT02,557015.21,1,1
TX0000351,2024-08-01,2024-08,SUP042,CAT02,280256.96,1,1
TX0000352,2024-08-17,2024-08,SUP035,CAT02,299377.29,1,1
TX0000353,2024-08-17,2024-08,SUP021,CAT02,133552.04,1,1
TX0000354,2024-08-20,2024-08,SUP035,CAT02,614105.32,1,1
TX0000355,2024-08-10,2024-08,SUP035,CAT02,469402.08,1,0
TX0000356,2024-08-21,2024-08,SUP025,CAT02,460166.45,1,1
TX0000357,2024-08-13,2024-08,SUP021,CAT02,239896.76,1,1
TX0000358,2024-08-09,2024-08,SUP035,CAT02,84235.14,1,0
TX0000359,2024-08-25,2024-08,SUP021,CAT02,311585.95,0,1
TX0000360,2024-08-02,2024-08,SUP021,CAT02,402237.32,1,1
TX0000361,2024-08-22,2024-08,SUP021,CAT02,405112.67,1,1
TX0000362,2024-08-26,2024-08,SUP061,CAT02,366944.78,1,1
TX0000363,2024-08-06,2024-08,SUP021,CAT02,355963.91,1,1
TX0000364,2024-08-20,2024-08,SUP025,CAT02,153206.05,1,1
TX0000365,2024-08-09,2024-08,SUP039,CAT03,212214.77,1,1
TX0000366,2024-08-27,2024-08,SUP064,CAT03,224577.04,1,1
TX0000367,2024-08-04,2024-08,SUP019,CAT03,48344.74,1,1
TX0000368,2024-08-12,2024-08,SUP064,CAT03,201250.21,1,1
TX0000369,2024-08-17,2024-08,SUP064,CAT03,168864.61,0,1
TX0000370,2024-08-14,2024-08,SUP047,CAT03,341063.25,1,1
TX0000371,2024-08-10,2024-08,SUP014,CAT03,225385.66,1,1
TX0000372,2024-08-19,2024-08,SUP053,CAT03,505491.54,1,1
TX0000373,2024-08-03,2024-08,SUP047,CAT03,133017.84,1,1
TX0000374,2024-08-05,2024-08,SUP064,CAT03,64721.32,0,0
TX0000375,2024-08-16,2024-08,SUP039,CAT03,496640.69,0,1
